Date,Open,High,Low,Close,Adj Close,Volume
2018-07-11,256.279999,256.279999,256.279999,256.279999,248.074158,0
2018-07-12,258.549988,258.549988,258.549988,258.549988,250.271454,0
2018-07-13,258.829987,258.829987,258.829987,258.829987,250.542480,0
2018-07-16,258.570007,258.570007,258.570007,258.570007,250.290833,0
2018-07-17,259.600006,259.600006,259.600006,259.600006,251.287827,0
2018-07-18,260.160004,260.160004,260.160004,260.160004,251.829910,0
2018-07-19,259.160004,259.160004,259.160004,259.160004,250.861938,0
2018-07-20,258.920013,258.920013,258.920013,258.920013,250.629639,0
2018-07-23,259.399994,259.399994,259.399994,259.399994,251.094238,0
2018-07-24,260.649994,260.649994,260.649994,260.649994,252.304214,0
2018-07-25,263.019989,263.019989,263.019989,263.019989,254.598328,0
2018-07-26,262.230011,262.230011,262.230011,262.230011,253.833649,0
2018-07-27,260.500000,260.500000,260.500000,260.500000,252.159027,0
2018-07-30,259.019989,259.019989,259.019989,259.019989,250.726425,0
2018-07-31,260.299988,260.299988,260.299988,260.299988,251.965424,0
2018-08-01,260.019989,260.019989,260.019989,260.019989,251.694397,0
2018-08-02,261.329987,261.329987,261.329987,261.329987,252.962433,0
2018-08-03,262.579987,262.579987,262.579987,262.579987,254.172394,0
2018-08-06,263.529999,263.529999,263.529999,263.529999,255.092041,0
2018-08-07,264.279999,264.279999,264.279999,264.279999,255.817978,0
2018-08-08,264.209991,264.209991,264.209991,264.209991,255.750244,0
2018-08-09,263.899994,263.899994,263.899994,263.899994,255.450165,0
2018-08-10,262.100006,262.100006,262.100006,262.100006,253.707794,0
2018-08-13,261.049988,261.049988,261.049988,261.049988,252.691406,0
2018-08-14,262.739990,262.739990,262.739990,262.739990,254.327301,0
2018-08-15,260.790009,260.790009,260.790009,260.790009,252.439743,0
2018-08-16,262.929993,262.929993,262.929993,262.929993,254.511169,0
2018-08-17,263.829987,263.829987,263.829987,263.829987,255.382431,0
2018-08-20,264.470001,264.470001,264.470001,264.470001,256.001953,0
2018-08-21,265.029999,265.029999,265.029999,265.029999,256.543976,0
2018-08-22,264.929993,264.929993,264.929993,264.929993,256.447144,0
2018-08-23,264.500000,264.500000,264.500000,264.500000,256.030945,0
2018-08-24,266.140015,266.140015,266.140015,266.140015,257.618469,0
2018-08-27,268.209991,268.209991,268.209991,268.209991,259.622162,0
2018-08-28,268.279999,268.279999,268.279999,268.279999,259.689911,0
2018-08-29,269.829987,269.829987,269.829987,269.829987,261.190247,0
2018-08-30,268.679993,268.679993,268.679993,268.679993,260.077118,0
2018-08-31,268.750000,268.750000,268.750000,268.750000,260.144867,0
2018-09-04,268.320007,268.320007,268.320007,268.320007,259.728638,0
2018-09-05,267.570007,267.570007,267.570007,267.570007,259.002686,0
2018-09-06,266.670013,266.670013,266.670013,266.670013,258.131500,0
2018-09-07,266.100006,266.100006,266.100006,266.100006,257.579712,0
2018-09-10,266.600006,266.600006,266.600006,266.600006,258.063690,0
2018-09-11,267.609985,267.609985,267.609985,267.609985,259.041382,0
2018-09-12,267.709991,267.709991,267.709991,267.709991,259.138153,0
2018-09-13,269.190002,269.190002,269.190002,269.190002,260.570740,0
2018-09-14,269.309998,269.309998,269.309998,269.309998,260.686951,0
2018-09-17,267.809998,267.809998,267.809998,267.809998,259.234985,0
2018-09-18,269.260010,269.260010,269.260010,269.260010,260.638519,0
2018-09-19,269.589996,269.589996,269.589996,269.589996,260.957947,0
2018-09-20,271.720001,271.720001,271.720001,271.720001,263.019745,0
2018-09-21,271.619995,271.619995,271.619995,271.619995,262.923004,0
2018-09-24,270.670013,270.670013,270.670013,270.670013,262.003448,0
2018-09-25,269.179993,269.179993,269.179993,269.179993,261.672882,0
2018-09-26,268.290009,268.290009,268.290009,268.290009,260.807678,0
2018-09-27,269.079987,269.079987,269.079987,269.079987,261.575684,0
2018-09-28,269.089996,269.089996,269.089996,269.089996,261.585388,0
2018-10-01,270.070007,270.070007,270.070007,270.070007,262.538055,0
2018-10-02,269.970001,269.970001,269.970001,269.970001,262.440857,0
2018-10-03,270.160004,270.160004,270.160004,270.160004,262.625519,0
2018-10-04,268.010010,268.010010,268.010010,268.010010,260.535522,0
2018-10-05,266.540009,266.540009,266.540009,266.540009,259.106537,0
2018-10-08,266.429993,266.429993,266.429993,266.429993,258.999573,0
2018-10-09,266.130005,266.130005,266.130005,266.130005,258.707947,0
2018-10-10,257.380005,257.380005,257.380005,257.380005,250.201950,0
2018-10-11,252.089996,252.089996,252.089996,252.089996,245.059494,0
2018-10-12,255.690002,255.690002,255.690002,255.690002,248.559097,0
2018-10-15,254.190002,254.190002,254.190002,254.190002,247.100937,0
2018-10-16,259.660004,259.660004,259.660004,259.660004,252.418396,0
2018-10-17,259.600006,259.600006,259.600006,259.600006,252.360031,0
2018-10-18,255.889999,255.889999,255.889999,255.889999,248.753510,0
2018-10-19,255.800003,255.800003,255.800003,255.800003,248.666046,0
2018-10-22,254.699997,254.699997,254.699997,254.699997,247.596710,0
2018-10-23,253.309998,253.309998,253.309998,253.309998,246.245483,0
2018-10-24,245.500000,245.500000,245.500000,245.500000,238.653290,0
2018-10-25,250.059998,250.059998,250.059998,250.059998,243.086121,0
2018-10-26,245.729996,245.729996,245.729996,245.729996,238.876877,0
2018-10-29,244.119995,244.119995,244.119995,244.119995,237.311768,0
2018-10-30,247.970001,247.970001,247.970001,247.970001,241.054413,0
2018-10-31,250.660004,250.660004,250.660004,250.660004,243.669403,0
2018-11-01,253.309998,253.309998,253.309998,253.309998,246.245483,0
2018-11-02,251.740005,251.740005,251.740005,251.740005,244.719269,0
2018-11-05,253.149994,253.149994,253.149994,253.149994,246.089935,0
2018-11-06,254.759995,254.759995,254.759995,254.759995,247.655029,0
2018-11-07,260.160004,260.160004,260.160004,260.160004,252.904434,0
2018-11-08,259.640015,259.640015,259.640015,259.640015,252.398972,0
2018-11-09,257.299988,257.299988,257.299988,257.299988,250.124176,0
2018-11-12,252.229996,252.229996,252.229996,252.229996,245.195572,0
2018-11-13,251.860001,251.860001,251.860001,251.860001,244.835922,0
2018-11-14,250.020004,250.020004,250.020004,250.020004,243.047241,0
2018-11-15,252.750000,252.750000,252.750000,252.750000,245.701096,0
2018-11-16,253.330002,253.330002,253.330002,253.330002,246.264908,0
2018-11-19,249.119995,249.119995,249.119995,249.119995,242.172318,0
2018-11-20,244.610001,244.610001,244.610001,244.610001,237.788116,0
